question_external_id,asset_external_id,bucket,storage_path,source_path,packaged_path,asset_kind,caption,status
digital-data.past_paper.topics_01_02.q006,digital-data.past_paper.topics_01_02.q006.figure_1,question-imports,digital-data/image1.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image1.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image1.png,table_image,2018 Q4(b)(i) PNG and JPEG file format icons,packaged
digital-data.past_paper.topics_01_02.q007,digital-data.past_paper.topics_01_02.q007.figure_1,question-imports,digital-data/image2.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image2.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image2.png,table_image,2018 Q4(b)(ii) BMP file format icon showing 442 KB file,packaged
digital-data.past_paper.topics_01_02.q013,digital-data.past_paper.topics_01_02.q013.figure_1,question-imports,digital-data/image3.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image3.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image3.png,table_image,2019 Q2 COMPUTER STORE sales table,packaged
digital-data.past_paper.topics_01_02.q014,digital-data.past_paper.topics_01_02.q014.figure_1,question-imports,digital-data/image3.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image3.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image3.png,table_image,2019 Q2 COMPUTER STORE sales table,packaged
digital-data.past_paper.topics_01_02.q017,digital-data.past_paper.topics_01_02.q017.figure_1,question-imports,digital-data/image4.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image4.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image4.png,figure,2019 Q4 Vic's photo metadata,packaged
digital-data.past_paper.topics_01_02.q037,digital-data.past_paper.topics_01_02.q037.figure_1,question-imports,digital-data/image5.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image5.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image5.png,table_image,2023 Q1(c) Term exam results table,packaged
digital-data.past_paper.topics_01_02.q038,digital-data.past_paper.topics_01_02.q038.figure_1,question-imports,digital-data/image5.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image5.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/digital-data/image5.png,table_image,2023 Q1(c) Term exam results table,packaged
database-applications.past_paper.topics_03_04.q001,database-applications.past_paper.topics_03_04.q001.figure_1,question-imports,database-applications/image6.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image6.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/database-applications/image6.png,figure,"2018 Q2 Database Structure (Member, MemberNewsletter, Newsletter)",packaged
database-applications.past_paper.topics_03_04.q007,database-applications.past_paper.topics_03_04.q007.figure_1,question-imports,database-applications/image7.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image7.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/database-applications/image7.png,figure,"2019 Q3 DVD Rental Database (MEMBERS, LOAN, DVD)",packaged
database-applications.past_paper.topics_03_04.q017,database-applications.past_paper.topics_03_04.q017.figure_1,question-imports,database-applications/image10.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image10.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/database-applications/image10.png,figure,2021 Q2 tblCARSSOLD - tblCARS Relationship,packaged
database-applications.past_paper.topics_03_04.q039,database-applications.past_paper.topics_03_04.q039.figure_1,question-imports,database-applications/image18.png,/Users/damiengartland/Desktop/Codex Work/GCSE Unit 1 Revision Project/_automark/figures/image18.png,/Users/damiengartland/Desktop/Codex Work/s1-network-revision-app/supabase/imports/question_assets_upload/question-imports/database-applications/image18.png,figure,"2024 Q3 Booking Database (tblArtist, tblVenue, tblBookings)",packaged
